,Date,Location,Demographic_Category,census,Not_Vaccinated,Administered_Dose1,Series_Complete_Yes
97,2021-12-30,51,5,176387.0,176387.0,0.0,0.0
98,2021-12-30,21,6,233526.0,-464.0,233990.0,193385.0
99,2021-12-30,36,6,211886.0,14228.0,197658.0,180162.0
100,2021-12-30,36,7,294923.0,126392.0,168531.0,140259.0
101,2021-12-30,8,7,4290688.0,733707.0,3556981.0,3158192.0
102,2021-12-30,38,8,93413.0,2207.0,91206.0,86216.0
103,2021-12-30,3,8,1004677.0,-57448.0,1062125.0,928628.0
104,2021-12-30,51,9,945584.0,111164.0,834420.0,764669.0
105,2021-12-30,32,9,533049.0,82836.0,450213.0,409590.0
106,2021-12-30,54,10,111311.0,2369.0,108942.0,100394.0
107,2021-12-30,1,10,43521.0,11111.0,32410.0,29479.0
108,2021-12-30,35,2,83723.0,-1690.0,85413.0,75299.0
109,2021-12-30,22,2,622196.0,35988.0,586208.0,516766.0
110,2021-12-30,1,11,12011.0,12011.0,0.0,0.0
111,2021-12-30,45,11,10184.0,10184.0,0.0,0.0
112,2021-12-30,40,41,9538.0,-1770.0,11308.0,10518.0
113,2021-12-30,43,41,367033.0,36703.0,330330.0,290134.0
114,2021-12-30,1,31,658112.0,102234.0,555878.0,490945.0
115,2021-12-30,34,31,23632.0,2706.0,20926.0,17892.0
116,2021-12-30,47,11,80645.0,80645.0,0.0,0.0
117,2021-12-30,35,11,34734.0,34734.0,0.0,0.0
118,2021-12-30,46,30,31383.0,31383.0,0.0,0.0
119,2021-12-30,44,30,289273.0,289273.0,0.0,0.0
120,2021-12-30,21,13,,,9399.0,6122.0
121,2021-12-30,47,13,,,22734.0,16544.0
122,2021-12-30,13,6,506419.0,32819.0,473600.0,431113.0
123,2021-12-30,2,6,766736.0,-164699.0,931435.0,659576.0
124,2021-12-30,3,44,688889.0,171954.0,516935.0,451123.0
125,2021-12-30,4,44,84447.0,23180.0,61267.0,51439.0
126,2021-12-30,58,14,1516954.0,89783.0,1427171.0,1245163.0
127,2021-12-30,17,14,3754.0,602.0,3152.0,3013.0
128,2021-12-30,54,15,115336.0,50562.0,64774.0,42535.0
129,2021-12-30,31,15,25719.0,13972.0,11747.0,7202.0
130,2021-12-30,36,16,185878.0,56202.0,129676.0,113771.0
131,2021-12-30,21,16,196045.0,32235.0,163810.0,134684.0
132,2021-12-30,5,28,118874.0,3555.0,115319.0,100649.0
133,2021-12-30,23,28,52521.0,26672.0,25849.0,21641.0
134,2021-12-30,14,45,6169401.0,6169401.0,0.0,0.0
135,2021-12-30,23,45,11322.0,11322.0,0.0,0.0
136,2021-12-30,14,34,14881720.0,-536591.0,15418311.0,13532932.0
137,2021-12-30,56,34,230533.0,5392.0,225141.0,190742.0
138,2021-12-30,7,45,103406.0,103406.0,0.0,0.0
